year,bujiness_classify,doc_type,label_jpn,prefix,element,periodType,balance,abstract
2014,cai,bs,航空機（純額）,jppfs_cor,AircraftNet,instant,debit,false
2014,cai,bs,山林,jppfs_cor,MountainForests,instant,debit,false
2014,cai,bs,貸与資産,jppfs_cor,AssetsForRent,instant,debit,false
2014,cai,bs,減価償却累計額、貸与資産,jppfs_cor,AccumulatedDepreciationAssetsForRent,instant,debit,false
2014,cai,bs,貸与資産（純額）,jppfs_cor,AssetsForRentNet,instant,debit,false
2014,cai,bs,賃貸不動産,jppfs_cor,RealEstateForRent,instant,debit,false
2014,cai,bs,減価償却累計額、賃貸不動産,jppfs_cor,AccumulatedDepreciationRealEstateForRent,instant,debit,false
2014,cai,bs,賃貸不動産（純額）,jppfs_cor,RealEstateForRentNet,instant,debit,false
2014,cai,bs,立木、有形固定資産,jppfs_cor,TreesPPE,instant,debit,false
2014,cai,bs,その他の設備、有形固定資産,jppfs_cor,OtherFacilitiesPPE,instant,debit,false
2014,cai,bs,コース勘定,jppfs_cor,GolfCourses,instant,debit,false
2014,cai,bs,ドック船台、造船業,jppfs_cor,DocksAndBuildingBerthsVES,instant,debit,false
2014,cai,bs,減価償却累計額、ドック船台、造船業,jppfs_cor,AccumulatedDepreciationDocksAndBuildingBerthsVES,instant,debit,false
2014,cai,bs,減損損失累計額、ドック船台、造船業,jppfs_cor,AccumulatedImpairmentLossDocksAndBuildingBerths,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、ドック船台、造船業,jppfs_cor,AccumulatedDepreciationAndImpairmentLossDocksAndBuildingBerths,instant,debit,false
2014,cai,bs,ドック船台（純額）、造船業,jppfs_cor,DocksAndBuildingBerthsNetVES,instant,debit,false
2014,cai,bs,その他、有形固定資産,jppfs_cor,OtherPPE,instant,debit,false
2014,cai,bs,減価償却累計額、その他、有形固定資産,jppfs_cor,AccumulatedDepreciationOtherPPE,instant,debit,false
2014,cai,bs,減損損失累計額、その他、有形固定資産,jppfs_cor,AccumulatedImpairmentLossOtherPPE,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、その他、有形固定資産,jppfs_cor,AccumulatedDepreciationAndImpairmentLossOtherPPE,instant,debit,false
2014,cai,bs,その他（純額）、有形固定資産,jppfs_cor,OtherNetPPE,instant,debit,false
2014,cai,bs,減価償却累計額、有形固定資産、一括控除,jppfs_cor,AccumulatedDepreciationPPEByGroup,instant,debit,false
2014,cai,bs,減損損失累計額、有形固定資産、一括控除,jppfs_cor,AccumulatedImpairmentLossPPEByGroup,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、有形固定資産、一括控除,jppfs_cor,AccumulatedDepreciationAndImpairmentLossPPEByGroup,instant,debit,false
2014,cai,bs,有形固定資産,jppfs_cor,PropertyPlantAndEquipment,instant,debit,false
2014,cai,bs,無形固定資産 [タイトル項目],jppfs_cor,IntangibleAssetsAbstract,duration,,true
2014,cai,bs,特許権,jppfs_cor,PatentRight,instant,debit,false
2014,cai,bs,借地権,jppfs_cor,LeaseholdRight,instant,debit,false
2014,cai,bs,地上権、無形固定資産 [タイトル項目],jppfs_cor,SurfaceRightIAAbstract,duration,,true
2014,cai,bs,商標権,jppfs_cor,RightOfTrademark,instant,debit,false
2014,cai,bs,実用新案権,jppfs_cor,UtilityModelRight,instant,debit,false
2014,cai,bs,意匠権,jppfs_cor,DesignRight,instant,debit,false
2014,cai,bs,鉱業権,jppfs_cor,MiningRight,instant,debit,false
2014,cai,bs,漁業権,jppfs_cor,FisheryRight,instant,debit,false
2014,cai,bs,入漁権、無形固定資産 [タイトル項目],jppfs_cor,CommonOfPiscaryIAAbstract,duration,,true
2014,cai,bs,ソフトウエア,jppfs_cor,Software,instant,debit,false
2014,cai,bs,ソフトウエア仮勘定,jppfs_cor,SoftwareInProgress,instant,debit,false
